NAME,CATEGORY,PHONE,WEBSITE,ADDRESS_FULL,POSTAL_CODE,CITY,WARD,ATTRACTION Description,geometry Coords
Cineplex Cinemas Yonge-Dundas and VIP,Cinema,(416) 977 - 9262,https://www.cineplex.com/theatre/cineplex-cinemas-yongedundas-and-vip,"10 Dundas Street East, Suite 402",M5B 2G9,Toronto,Yonge-Dundas,"Modern multiplex cinema chain screening the latest Hollywood films, plus new independent releases.","(-79.380555,43.6565923)"
Imagine Cinemas Carlton Cinema,Cinema,(416) 598-5454,https://imaginecinemas.com/cinema/carlton/,20 Carlton St. at Yonge,M5B 2H5,Toronto,Yonge,"The Carlton Cinema is a cinema in Toronto, Ontario, Canada. It is located on Carlton Street on the original premises of the historic Odeon Theatre and is known for playing films that the larger chain theatres ignore.","(-79.3816808,43.6616374)"
Imagine Cinemas Market Square,Cinema,(416) 214-7006,https://imaginecinemas.com/cinema/market-square/,80 Front St E,M5E 1T4,Toronto,Front,"Modern multiplex cinema chain screening the latest Hollywood films, plus new independent releases.","(-79.37273449999999,43.6492034)"
Scotiabank Theatre Toronto,Cinema,(416) 368-5600,https://www.cineplex.com/theatre/scotiabank-theatre-toronto,259 Richmond St W,M5V 3M6,Toronto,Richmond ,"The Scotiabank Theatre Toronto is a major movie theatre at the RioCan Hall in the Entertainment District of downtown Toronto, Ontario, Canada at Richmond and John Street owned by Cineplex Entertainment for the building and the lands owned by RioCan.","(-79.3913111,43.6487092)"
The Royal Cinema,Cinema,(416) 466-4400,https://theroyal.to/,"608 College St, Toronto",M6G 1B4,Toronto,College St,"The Royal Cinema is an Art Moderne event venue and cinema in Toronto, Ontario, Canada. It was built in 1939 and owned by Miss Ray Levinsky. When it was built in 1939, it was called The Pylon, with an accompanying large sign at the front of the theatre","(-79.4145817,43.6553504)"
TIFF Bell Lightbox,Cinema,(416) 599-2033,https://www.tiff.net/,350 King St W,M5V 3X5,Toronto,King Street-John Street,"TIFF Bell Lightbox is a cultural centre in Toronto, Ontario, Canada, located in the first five floors of the Bell Lightbox and Festival Tower on the north west corner of King Street and John Street.","(-79.3903363,43.6465949)"
Beanfield Centre,Convention & Trade Centres,416-263-3000,https://www.beanfieldcentre.com/,105 Princes' Blvd,M6K 3C3,Toronto,Spadina-Fort York,The Beanfield Centre (formerly Allstream Centre) is an environmentally friendly conference venue.,"(-79.4104277,43.63385479999999)"
Enercare Centre,Convention & Trade Centres,416-263-3000,https://www.enercarecentre.com/,100 Princes' Blvd,M6K 3C3,Toronto,Spadina-Fort York,"The largest convention centre in Canada, over 180 trade and consumer shows are hosted annually.","(-79.4123529029789, 43.6365299779587)"
Metro Toronto Centre,Convention & Trade Centres,416-585-8000,https://www.mtccc.com/,222 Bremner Blvd,M5V 3L9,Toronto,Spadina-Fort York,"Offers more than 600,000 square feet of large exhibit, event, and meeting space.","(-79.38498539999999,43.6417673)"
Shoppes Of the World Trade Centre,Convention & Trade Centres,416-263-3000,https://www.explace.on.ca/,77 Adelaide St W,M6K 3C3,Toronto,Spadina-Fort York,Amazing collection. Friendly staff. A must visit place. They have good deals time to time,"(-79.37539880082323,43.64213876087492)"
BMO Field,Entertainment,416-815-5982,https://www.bmofield.com/,170 Princes' Blvd,M6K 3C3,Toronto,Spadina-Fort York,"BMO Field is home to the Toronto FC (Major League Soccer), Canada's national soccer team, and the home of the Toronto Argonauts (Canadian Football League).","(-79.4186162,43.6331702)"
Budweiser Stage (formerly Molson Canadian Amphitheatre),Entertainment,416-260-5600,https://www.livenation.com/venue/KovZpZAEkkIA/budweiser-stage-events,909 Lake Shore Blvd W,M6K 3L3,Toronto,Spadina-Fort York,"Located within the Ontario Place grounds, the Budweiser Stage offers concert goers an excellent outdoors venue.","(-79.4150698,43.6291955)"
Coca-Cola Coliseum (formerly Ricoh Coliseum),Entertainment,416-263-3900,https://www.coca-colacoliseum.com/,45 Manitoba Dr,M6K 3C3,Toronto,Spadina-Fort York,"Located at Exhibition Place, the Coca-Cola Coliseum is home to the Toronto Marlies (American Hockey League) and concerts.","(-79.4152538,43.6361473)"
Mattamy Athletic Centre,Entertainment,416-979-5339,https://www.mattamyathleticcentre.ca/,50 Carlton St,M5B 1J2,Toronto,Toronto Centre,"Mattamy Athletic Centre is located within Maple Leafs Garden and is home to the Ryerson Ram's basketball, hockey and volleyball teams.","(-79.38033089999999,43.6621838)"
Rogers Centre,Entertainment,416-341-1000,https://www.mlb.com/bluejays/ballpark,1 Blue Jays Way,M5V 1J4,Toronto,Spadina-Fort York,The Rogers Centre is a multipurpose venue. Home to the Toronto Blue Jays (Major League Baseball) and the Toronto Argonauts (Canadian Football League).,"(-79.3891419,43.641804)"
Scotiabank Arena (formerly Air Canada Centre),Entertainment,416-815-5500,https://www.scotiabankarena.com/,40 Bay St,M5J 2X2,Toronto,Spadina-Fort York,"The Scotiabank Arena is a multi-purpose indoor sporting arena and concert venue. It is the home of the Toronto Maple Leafs Hockey Club, the Toronto Raptors basketball team, and the Toronto Rock Lacrosse team.","(-79.37964690000001,43.6431888)"
Art Gallery of Ontario,Gallery,416-979-6648,https://ago.ca/,317 Dundas St W,M5T 1G4,Toronto,Spadina-Fort York,"The Art Gallery of Ontario (AGO) is one of the largest art galleries in North America, and holds more than 80,000 works in its collection. In 2008 the building was redesigned by famous architect and native Torontonian, Frank Gehry.","(-79.3924847,43.6535364)"
Art Museum at the University of Toronto,Gallery,416-978-1838,https://artmuseum.utoronto.ca/,15 King's College Crcl,M5S 3H7,Toronto,University-Rosedale,Originally opened in 1996 The Arts centre puts a special focus on study collections.,"(-79.39578329999999,43.6631493)"
Canadian Sculpture Centre,Gallery,647-435-5858,https://www.sculptorssocietyofcanada.org/,19 Mill St,M5A 3R6,Toronto,Spadina-Fort York,The Canadian Scultpture Centre is headquarters to the Sculptors Society of Canada. The society showcases and exibits contemporary Canadian scultpures.,"(-79.361396,43.6502419)"
Gallery Indigena,Gallery,416-366-3000,http://www.galleryindigena.com/,46 Gristmill Lane,M5A 3C4,Toronto,Spadina-Fort York,"Located in the Distillery District, the Eskimo Art Gallery offers Inuit art.","(-79.36004129999999,43.6500618)"
Museum of Contemporary Canadian Art,Gallery,416-395-0067,https://moca.ca/,158 Sterling Rd,M6R 2B7,Toronto,Davenport,"A variety of original and thought-provoking exhibitions, promoting innovative art by Canadian and international artists. Over 800 artists have been featured in more than 80 exhibitions and projects.","(-79.4451705,43.6545801)"
Onsite [at] OCADU,Gallery,416-977-6000,https://www.ocadu.ca/gallery/onsite,199 Richmond St W,M5V 0H4,Toronto,Spadina-Fort York,Onsite [at] OCAD U provides the opportunity and space of an art gallery to exhibit students contemporary work.,"(-79.3879544,43.6495164)"
Ryerson Image Centre,Gallery,416-979-5164,https://ryersonimagecentre.ca/,33 Gould St,M5B 1E9,Toronto,Toronto Centre,"The RIC is dedicated to the public exhibition, research, study and teaching of photography including, installation art and film and media.","(-79.3792455,43.65774580000001)"
The Power Plant Contemporary Art Gallery,Gallery,416-973-4949,http://www.thepowerplant.org/,231 Queens Quay W,M5J 2G8,Toronto,Spadina-Fort York,"Dedicated to contemporary art, the Power Plant is a free public gallery located at the Harbourfront Centre.","(-79.38201629999999,43.6382447)"
Thompson Landry Gallery - Stone Building & Cooperage Space,Gallery,416-364-4955,http://www.thompsonlandry.com/,32 Distillery Lane,M5A 3C4,Toronto,Spadina-Fort York,"The Thompson Landry Gallery is spread out over 6,000 square feet and showcases artwork from internationally acclaimed contemporary Quebec artists. The gallery opened in 2009 and is situated within the Distillery District's Cooperage Building.","(-79.3601896,43.6497477)"
Artscape Wychwood Barns,Landmark,416-338-4386,https://artscapewychwoodbarns.ca/,76 Wychwood Ave,M6G 2X7,Toronto,Toronto-St. Paul's,"A heritage building converted into a community centre that hosts many events, festivals, farmers market and a children's theatre.","(-79.4227051,43.679944)"
Canada's Walk of Fame,Landmark,416-367-9255,https://www.canadaswalkoffame.com/,215 King St W, ,Toronto,Spadina-Fort York,Canada's Walk of Fame celebrates Canadians who have excelled in their respective fields for at least 10 years. The stars are displayed throughout the Entertainment District along King Street West and Simcoe Street.,"(-79.3872066,43.6465174)"
CF Toronto Eaton Centre,Landmark,416-598-8560,https://www.cfshops.com/toronto-eaton-centre.html,220 Yonge St,M5B 2H1,Toronto,Toronto Centre,The Toronto Eaton Centre is downtown Toronto's only shopping mall. It features over 200 stores and restaurants as well as the sculpture called Flightstop designed by Michael Snow.,"(-79.3801225,43.6539681)"
Louie Laki Lane,Landmark,416-967-6425,http://www.harbourfrontcentre.com/,101 Louie Laki Lane,M5J 2G8,Toronto,Spadina-Fort York, Louie Laki worked in a foundry and enjoyed a glass of homemade wine.,"(-79.40345044500255, 43.66060131314677)"
MacMillian Co. of Canada Building,Landmark,416-599-2033,https://www.tiff.net/,70 Bond St,M5V 3X5,Toronto,Spadina-Fort York,Historical landmark,"(-79.37825367569094,43.65546157594535)"
MuchMusic (Bell Media Queen Street),Landmark,416-591-5757,https://www.much.com/,277 Queen St W,M5V 2Z5,Toronto,Spadina-Fort York,A Canadian television channel dedicated to engaging the youth through popular music and popular television series.,"(-79.38988227383899,43.64998025300026)"
Old City Hall,Landmark,416-338-0338,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,60 Queen St W,M5H 2M3,Toronto,Toronto Centre,"Old City Hall is a landmark building that was used as Toronto's second City Hall and is a great example of beautiful architecture. Today, it is used as a courthouse.","(-79.38201629999999,43.6524826)"
Osgoode Hall,Landmark,416-947-3300,https://www.osgoode.yorku.ca/,130 Queen St W,M5H 2N6,Toronto,Spadina-Fort York,"Constructed in the 19th century, Osgoode Hall acts as the judicial landmark of Toronto, with institutions like the Ontario Court of Appeal, the Law Society of Upper Canada, and the Divisional Court of the Superior Court of Justice.","(-79.38552539999999,43.6520876)"
Queen's Park: Legislative Assembly of Ontario,Landmark,416-325-7500,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park,110 Wellesley St W, ,Toronto,University-Rosedale,"A variety of free tour options are available all year round to visit Ontarios historic Legislative Building (iconic sandstone Richardson Romanesque style building, completed in 1893).","(-79.3923284,43.6643658)"
Redrocket Lane,Landmark,416-364-1177,https://www.thedistillerydistrict.com/,441 Bloor St E,M5A 3C4,Toronto,Spadina-Fort York,"A pedestrian only historic area that represents the largest and best preserved collection of Victorian Industrial Architecture in North America. The refurbished warehouses are now home to restaurants, bars, galleries, studios, and a theatre.","(-79.37546971847767,43.67233378699823)"
Tony Brady Lane,Landmark,416-861-9111,https://www.thebay.com/,17 Hillcrest Park,M5C 2L7,Toronto,Toronto Centre,"Famously known as being North America's oldest company, the Hudson Bay is a chain of department stores  that operate throughout the country.","(-79.4073861,43.6616474)"
Toronto City Hall and Nathan Phillips Square,Landmark,311,https://www.toronto.ca/services-payments/venues-facilities-bookings/booking-city-facilities/city-hall/,100 Queen St W,M5H 2N1,Toronto,Spadina-Fort York,"Toronto's City Hall is one of Toronto's best known and visited landmarks. Nathan Phillips Square located directly in front of City Hall, is the site of  the iconic Toronto sign, concerts, farmers' markets, and iconic events.","(-79.3846994,43.6527709)"
Toronto Public Labyrinth at Trinity Square,Landmark,416-338-4386,http://www.labyrinthnetwork.ca/toronto-public-labyrinth/,24 Trinity Sq, ,Toronto,Toronto Centre,Trinity Square Park offers a unique age-old experience of meditating and relaxing while walking a labyrinth and focusing on personal self-awareness and spiritual growth.,"(-79.38184369999999,43.6542249)"
Toronto Reference Library,Landmark,416-395-5577,https://www.torontopubliclibrary.ca/torontoreferencelibrary/,789 Yonge St,M4W 2G8,Toronto,University-Rosedale,The Toronto Reference Library is situated in a 5 storey building within the Yorkville neighbourhood. It is the largest public reference library in Canada.,"(-79.3868198,43.6718185)"
Yonge-Dundas Square,Landmark,416-979-9960,https://www.ydsquare.ca/,1 Dundas St E, ,Toronto,Toronto Centre,"Yonge-Dundas Square is one of the city's largest public squares. It is located directly across from the Toronto Eaton Centre. The square is home to free movie screenings, concerts, shows and exhibits.","(-79.38063939999999,43.6562208)"
CBC Museum,Museum,416-205-5574,https://www.cbc.ca/museum/,250 Front St W,M5V 3G5,Toronto,Spadina-Fort York,The CBC Museum features various CBC archival materials that date back to 1936. The museum also features the Graham Spry Theatre and a number of interactive exhibits.,"(-79.3877505,43.6443851)"
Colborne Lodge,Museum,416-392-6916,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/colborne-lodge/,11 Colborne Lodge Dr, ,Toronto,Parkdale-High Park,This quaint cottage located within High Park was home to John and Jemma Howard. In 1873 the couple deeded the part to lodge to the City of Toronto. The house is a great example of a regency style building.,"(-79.4606914,43.6405624)"
Design Exchange,Museum,416-363-6121,https://dx.org/,234 Bay St, ,Toronto,Spadina-Fort York,Canada's only museum dedicated to the preservation of design which includes the design heritage from an array of mediums.,"(-79.3803836,43.648473)"
Fort York National Historic Site,Museum,416-392-6907,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/fort-york-national-historic-site/,250 Fort York Blvd,M5V 3K9,Toronto,Spadina-Fort York,"Birthplace of Toronto in 1793 and scene of the Battle of York in 1813, Fort York has Canadas largest collection of original War of 1812 buildings. Open year round for tours, exhibits, and demonstrations.","( -79.40401605664002,43.63935038135223)"
Gardiner Museum of Ceramic Art,Museum,416-586-8080,https://www.gardinermuseum.on.ca/,111 Queen's Park,M5S 2C7,Toronto,University-Rosedale,"A museum dedicated to one of the oldest forms of art. The Gardiner Museum of Ceramic Art is home to over 3,000 historical and contemporary ceramic pieces.","(-79.39315309999999,43.6680934)"
Japan Foundation,Museum,416-966-1600,https://jftor.org/,2 Bloor St E,M4W 1A8,Toronto,University-Rosedale,A cultural establishment aiming towards effective development of its international cultural exchange programs in Japanese arts and cultural exchange.,"(-79.38563409999999,43.670789)"
Mackenzie House,Museum,416-392-6915,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,82 Bond St,M5B 1X2,Toronto,Toronto Centre,"Mackenzie House is the restored home of William Lyon Mackenzie, Toronto's first Mayor. It is one of 10 museums operated by the City of Toronto.","(-79.3783822134116,43.655769048977795)"
Redpath Sugar Museum,Museum,416-366-3561,https://www.redpathsugar.com/,95 Queens Quay E,M5E 1A3,Toronto,Spadina-Fort York,"Located inside the Redpath Refinery, the Redpath Sugar Museum is for those interested in the history of sugar, the development and the role of the Redpath family in Canada's industry sector, and much more.","(-79.3707548,43.6425294)"
Reuben & Helene Dennis Museum,Museum,416- 214-9229,https://torontorailwaymuseum.com/,1700 Bathurst St,M5V 3M9,Toronto,Spadina-Fort York,"The Toronto Railway Museum encompasses the Canadian Pacific Railway John Street Roundhouse at Roundhouse Park and features a restored turntable, a number of trains and the 1896 Canadian Pacific Don Station.","(-79.3857111,43.6406672)"
Royal Ontario Museum,Museum,416-586-8000,https://www.rom.on.ca/en,100 Queen's Park,M5S 2C6,Toronto,University-Rosedale,"Canadas largest museum of natural history and world cultures, presents engaging galleries of art, archaeology, and natural science from around the world.","(-79.3947771,43.6677097)"
Spadina Museum,Museum,416-392-6910,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/spadina-museum/,285 Spadina Rd,M5R 2V5,Toronto,Toronto-St. Paul's,"Operated by the City of Toronto, the Spadina Museum is a historic manor house that allows visitors to learn about the history and architecture of  late 19th century to early 20th century Toronto.","(-79.40809709999999,43.6789759)"
Taras H. Shevchenko Museum,Museum,416-534-8662,http://www.infoukes.com/shevchenkomuseum/,1604 Bloor St W,M6P 1A7,Toronto,Parkdale-High Park,The Taras H. Shevchenko Museum is the home to  exhibitions dedicated to the contribution of Ukrainians in Canada and the life of famed writer Taras Shevchenko.,"(-79.4552363,43.6559854)"
Textile Museum of Canada,Museum,416-599-5321,https://textilemuseum.ca/,55 Centre Ave,M5G 2H5,Toronto,Spadina-Fort York,"With more than 13,000 objects from more than 200 countries and regions, the Textile Museum of Canada celebrates cultural diversity through traditional fabrics, garments, carpets and related artifacts such as beadwork and basketry.","(-79.3866484,43.6545692)"
The 48th Highlanders Museum,Museum,416-635-4440,http://www.48highlanders.com/04_03.html,73 Simcoe St,M5J 1W9,Toronto,Spadina-Fort York,"This museum is dedicated to one of Canada's famous military regiments. The museum holds historical artifacts dating from Victorian Toronto in 1891, when the 48th Highlanders was formed, to the present day.","(-79.3852934,43.6468163)"
The Bata Shoe Museum,Museum,416-979-7799,https://batashoemuseum.ca/,327 Bloor St W,M5S 1W7,Toronto,University-Rosedale,"Home to hundreds of shoes (from a collection numbering over 13,000). The museum celebrates the style and function of footwear in impressive galleries from ancient Egypt to modern fashion.","(-79.4000689,43.667267)"
Toronto Police Museum & Discovery Centre,Museum,416-808-7020,http://www.torontopolice.on.ca/museum/,40 College St,M5G 2J3,Toronto,Toronto Centre,"The Toronto Police Museum & Discovery Centre occupies 3,000 square feet within the Police Headquarters building on College Street. The museum solely relies on private donations and is a not for profit registered charity.","(-79.3851833,43.6613792)"
Toronto's First Post Office,Museum,416-865-1833,http://www.townofyork.com/,260 Adelaide St E,M5A 1N1,Toronto,Toronto Centre,Toronto's First Post Office acts as a museum but also continues to operate as a full service Canada Post office. Admission to the museum is by donation.,"(-79.370425,43.6519706)"
Ukrainian Museum of Canada,Museum,416-923-9861,http://umcontario.com/,620 Spadina Ave,M5S 2H4,Toronto,University-Rosedale,"The Ukrainian Museum of Canada features over 4,000 artifacts. These artifacts include prints, coins, maps jewellery, textiles and historic costumes.","(-79.4023776,43.6619864)"
Cloud Gardens Conservatory,Nature,416-392-7288,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/gardens-and-horticulture/conservatories/cloud-gardens-conservatory/,14 Temperance St,M5H 1Y4,Toronto,Toronto Centre,"Renovated in 2014, the conservatory is situated within the heart of the city's financial district. It features a small greenhouse that is set to the conditions of a rainforest.","(-79.3796939,43.65096339999999)"
Glen Stewart Park,Nature,416-397-2628,https://www.toronto.ca/data/parks/prd/facilities/complex/1806/index.html,5 Glen Everest Rd,M5J 2E9,Toronto,Spadina-Fort York,"The garden, inspired by Franklin the Turtle, is an area to discover nature, play, while learning something new.","(-79.3635274,43.6820059)"
Alexander Muir Memorial Gardens,Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/193/index.html,2901 Yonge St, ,Toronto,Don Valley West,Named after the famous composer Alexander Muir. The gardens act as a path into the tranquil ravine system that includes walking trails. The gardens are open year round.,"(-79.40105951431198,43.72172041645102)"
Allan Gardens,Park,416-392-7288,https://www.toronto.ca/data/parks/prd/facilities/complex/41/index.html,19 Horticultural Ave,M5A 2P2,Toronto,Toronto Centre,Allan Gardens is a park and indoor botanical garden built in 1910. The building houses six greenhouses featuring plants and flowers from across the globe. Open year round and free to the public.,"(-79.3747382,43.6617429)"
Balmy Beach Park,Park,311,http://app.toronto.ca/tpha/beach/9.html,1 Beech Ave,M4E 1A7,Toronto,Beaches-East York,"Created in 1903, the historic park features a lawn bowling club, a playground and outdoor fitness equipment.","(-79.2867172,43.670564)"
Cherry Beach/ Clarke Beach Park,Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/209/index.html,275 Unwin Ave, ,Toronto,Toronto-Danforth,"Cherry Beach is located within the port lands and features a dog's off leash area, the Martin Goodman Trail and a picnic site.","(-79.3429074,43.6408346)"
Chorley Park,Park,311,http://app.toronto.ca/tpha/beach/5.html,245 Douglas Dr, ,Toronto,Spadina-Fort York, A quiet 5 hectare park near Mount Pleasant Road and St. Clair Avenue East featuring a mature tree canopy and picnic tables.,"(-79.36930486034564,43.68625139719501)"
Etienne Brule Park,Park,311,http://app.toronto.ca/tpha/beach/4.html,10 Catherine Ave,M5J 2W2,Toronto,Spadina-Fort York,"Etienne Brule park is a historically significant piece of land. It was named after Etienne Brule, the first French explorer to venture beyond the St. Lawrence River into Upper Canada","(-79.4901143259545,43.65185805872159)"
Bellevue Square Park,Park,416-392-8196,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,5 Bellevue Ave, ,Toronto,Spadina-Fort York,"Measuring just under half a hectare, Bellevue Square is a small park in the heart of Toronto's Kensington Market neighbourhood. This park features a wading pool, playground and drinking fountain. It is also home to a life size bronze statue of Toronto-born actor and director Al Waxman, best known for his role as Larry King in the television series King of Kensington.","(-79.40194174200267,43.65400457)"
High Park,Park,416-338-0338,http://www.highparktoronto.com/,1873 Bloor St W, ,Toronto,Parkdale-High Park,"High Park is one of Torontos largest parks, and attracts visitors each spring for the blooming of its famous cherry blossoms. It also contains attractions and amenities such as recreational programs, a local zoo, a unique playground and a pond.","(-79.46347191889096,43.6470882605717)"
HTO Park,Park,416-392-8188,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,339 Queens Quay W,M5V 1A2,Toronto,Spadina-Fort York,"Facing the inner harbour with Toronto Island Park in clear viewing,  HTO Park includes an urban beach which is decorated with yellow umbrellas and Muskoka chairs.","(-79.3885422,43.6376014)"
Kew Gardens Park,Park,416-392-2489,https://www.kew.org/kew-gardens,2075 Queen St E,M4L 1J1,Toronto,Beaches-East York,"Located in The Beaches, Kew Gardens act as one of Toronto's most popular picnic grounds while having access to the boardwalk on the lakeshore.","(-79.2992252,43.6700216)"
Riverdale Park (East and West),Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,550 Broadview Ave, ,Toronto,Toronto-Danforth,"A Toronto park that is great for all seasons. Riverdale Park West has three multipurpose sport fields, seven tennis courts, an outdoor ice rink, two baseball diamonds, and much more.","(-79.3557081,43.669809)"
S.A.D.R.A. Park,Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/1/index.html,425 Old Weston Rd,M4L 3W6,Toronto,Beaches-East York,S.A.D.R.A Park is a small park with a playground and ball hockey pad. S.A.D.R.A.,"(-79.46221900267403,43.675791634885336)"
St. James Park,Park,416-392-2489,https://www.toronto.ca/data/parks/prd/facilities/complex/408/index.html,120 King St E, ,Toronto,Toronto Centre,"A large green space, home to a Victorian garden, live performances, and is a popular spot for photos. The park is adjacent to historic St. James Cathedral.","(-79.36798139999999,43.6514476)"
Sugar Beach Park,Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/2261/index.html,11 Dockside Dr, ,Toronto,Spadina-Fort York,Sugar Beach is one of Toronto's urban beach parks. Famous for its pink umbrellas and Muskoka chairs.,"(-79.36742029999999,43.64364)"
Sunnyside Beach,Park,311,https://www.toronto.ca/data/parks/prd/facilities/complex/394/index.html,1755 Lake Shore Blvd W,M6S 5A3,Toronto,Parkdale-High Park,"One of Toronto's designated swimming beaches, Sunnyside Beach provides rowers and paddlers calm waters with an offshore break wall.","(-79.4563771,43.6375567)"
Taddle Creek Park,Park,311,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/,40 Bedford Rd, ,Toronto,Spadina-Fort York,Compact city green space featuring a playground for kids and a pitcher-shaped fountain sculpture,"(-79.39844310267422,43.66999956785471)"
Tommy Thompson Park,Park,416-661-6600,https://tommythompsonpark.ca/,1 Leslie St, ,Toronto,Toronto-Danforth,"This narrow peninsula park is a perfect place for hiking, jogging, cycling and birdwatching, with 10km of paved trails.","(-79.322113,43.6510553)"
Toronto Music Garden,Park,416-973-4000,http://www.harbourfrontcentre.com/venues/torontomusicgarden/,479 Queens Quay W, ,Toronto,Spadina-Fort York,The Toronto Music Garden is situated on Toronto's newly revamped waterfront. The garden was designed by landscape designer Julie Moir Messervy and by the cellist Yo Yo Ma.,"(-79.3938921,43.6370567)"
Toronto Sculpture Garden,Park,416-392-4012,https://www.toronto.ca/explore-enjoy/history-art-culture/public-art/public-art-monuments-collection/comp-sculpture-garden/,115 King St E,M5C 1G6,Toronto,Toronto Centre,Since 1981 this small urban park has featured contemporary sculpture installations by various artists.,"(-79.37368916034708,43.650041692759)"
Village of Yorkville Park,Park,416-338-4386,https://www.bloor-yorkville.com/village-yorkville-park-green-space-gem/,115 Cumberland St, ,Toronto,University-Rosedale,"The Village of Yorkville Park was built on the site of a former parking lot, in the heart of the Bloor Yorkville neighbourhood. The main focal point of the park is the rock which weighs 650 tonnes and is approximately 1 billion years old.","(-79.391695,43.6699874)"
Dufferin Grove Park,Park,416-338-4386,http://app.toronto.ca/tpha/beach/6.html,875 Dufferin St,M5J 1X8,Toronto,Spadina-Fort York,"Dufferin Grove Park is a park in the Dufferin Grove neighbourhood of Toronto, Ontario, Canada. The park is located on the east side of Dufferin Street, south of Bloor Street West.","(-79.43276370267475,43.6567726207261)"
Woodbine Beach,Park,416-338-4386,https://www.toronto.ca/data/parks/prd/facilities/complex/311/index.html,1675 Lake Shore Blvd E,M4L 3W6,Toronto,Beaches-East York,Woodbine Beach is one of the city's main beaches. The park is located over 15.2 hectares.  Features include the Martin Goodman Trail and the Donald D. Summerville Outdoor Olympic Pool.,"(-79.30944219999999,43.66329959999999)"
